iter	RMSE
0	661.9572106
1	645.0051239
2	628.689392
3	613.4227914
4	597.0809195
5	582.2249406
6	567.8600642
7	553.4691037
8	539.8238065
9	528.2258718
10	517.5947924
11	506.2513228
12	494.5174693
13	483.2512607
14	473.0133359
15	463.5604332
16	453.2564908
17	444.6199937
18	434.3534246
19	425.6102017
20	417.2314208
21	408.0846166
22	399.2448921
23	392.4409525
24	384.5344353
25	377.2457086
26	370.3359487
27	364.5125717
28	358.8414346
29	351.7327455
30	345.8351628
31	339.1903913
32	333.0391308
33	327.3520037
34	322.3065528
35	317.6187513
36	312.6677291
37	307.9672059
38	303.9580546
39	299.3105455
40	295.6442312
41	292.0414435
42	288.8689947
43	285.6325195
44	281.7132554
45	278.3425008
46	274.9780586
47	271.8122136
48	268.8240901
49	265.7749537
50	263.4910386
51	260.6431766
52	257.7892141
53	255.4417818
54	252.9779243
55	251.2802211
56	248.8281803
57	247.0612197
58	244.9795857
59	242.9312038
60	241.2886481
61	239.3718447
62	237.8575614
63	236.5721353
64	234.7427595
65	232.9942802
66	231.4319949
67	229.9943971
68	228.4822283
69	227.3883432
70	226.0000274
71	224.7669111
72	223.8982555
73	222.8708062
74	221.6270991
75	220.4701977
76	219.3376108
77	218.4761633
78	217.4352675
79	216.3882826
80	215.3759058
81	214.5761023
82	213.7389117
83	213.245256
84	212.6009522
85	211.9846878
86	211.341457
87	210.6103557
88	210.180318
89	209.6481593
90	209.0680504
91	208.3286871
92	207.4966446
93	206.8243789
94	206.1875257
95	205.5416307
96	205.3888694
97	204.963864
98	204.5307617
99	203.9478591
100	203.4865855
101	203.1071563
102	202.6643957
103	202.2169708
104	201.8946692
105	201.287676
106	200.8713202
107	200.5035334
108	200.1321759
109	199.7286918
110	199.3075553
111	199.0277058
112	198.7583133
113	198.3678317
114	197.9400915
115	197.5262028
116	197.1145201
117	196.8328976
118	196.4929239
119	196.1444962
120	195.6459542
121	195.3116802
122	194.8397599
123	194.4551757
124	194.2232972
125	193.943346
126	193.5818311
127	193.3439418
128	192.9427111
129	192.6675687
130	192.3714777
131	192.0715485
132	191.7515063
133	191.4452839
134	191.1430246
135	190.893617
136	190.6502851
137	190.3575533
138	190.0732686
139	189.8527561
140	189.6167443
141	189.3704732
142	189.1833164
143	189.1275745
144	188.9484587
145	188.5703922
146	188.3840203
147	188.0675377
148	187.822856
149	187.7050488
150	187.4736469
151	187.2478227
152	187.0757208
153	186.879275
154	186.6544921
155	186.4528934
156	186.2321462
157	186.0522505
158	185.8007947
159	185.5878239
160	185.369063
161	185.2562775
162	185.1360815
163	184.9497974
164	184.7473018
165	184.5633861
166	184.3174046
167	184.068929
168	184.0550317
169	183.8753923
170	183.6725878
171	183.5497364
172	183.4031366
173	183.2773095
174	183.0894488
175	182.8378787
176	182.7380523
177	182.5108033
178	182.2566107
179	182.183412
180	181.978514
181	181.6798546
182	181.5155767
183	181.3411755
184	181.1294627
185	180.9562829
186	180.7959805
187	180.5252259
188	180.3046921
189	180.0774613
190	179.8916333
191	179.7543865
192	179.5088629
193	179.2242139
194	179.0251637
195	178.8711763
196	178.6905955
197	178.4810806
198	178.2577902
199	178.0594617
200	177.9241933
201	177.6947798
202	177.4605323
203	177.3041094
204	177.090115
205	176.990592
206	176.8789608
207	176.6683381
208	176.5192401
209	176.3067471
210	176.1471019
211	175.8983835
212	175.7321879
