iter	Passed	Remaining
0	146	146583
1	147	73845
2	148	49494
3	150	37391
4	151	30193
5	152	25339
6	154	21847
7	155	19275
8	156	17254
9	157	15614
10	158	14292
11	160	13186
12	161	12232
13	161	11392
14	162	10671
15	163	10036
16	163	9481
17	164	8978
18	165	8526
19	165	8127
20	166	7758
21	167	7427
22	167	7122
23	168	6840
24	168	6586
25	169	6347
26	169	6125
27	170	5913
28	170	5718
29	171	5535
30	171	5365
31	172	5206
32	172	5056
33	172	4914
34	173	4782
35	173	4658
36	174	4539
37	174	4427
38	175	4320
39	175	4220
40	176	4126
41	176	4035
42	177	3945
43	177	3860
44	178	3780
45	178	3703
46	178	3629
47	179	3558
48	179	3492
49	180	3427
50	180	3364
51	181	3304
52	181	3246
53	182	3191
54	182	3137
55	182	3083
56	183	3033
57	183	2984
58	184	2937
59	184	2892
60	185	2848
61	185	2805
62	185	2764
63	186	2722
64	186	2684
65	187	2646
66	187	2610
67	187	2575
68	188	2540
69	188	2507
70	189	2475
71	189	2443
72	189	2412
73	190	2382
74	190	2353
75	191	2325
76	191	2298
77	192	2271
78	192	2245
79	193	2220
80	193	2195
81	194	2171
82	194	2148
83	194	2123
84	195	2101
85	195	2079
86	196	2058
87	196	2037
88	197	2017
89	197	1997
90	198	1977
91	198	1958
92	198	1939
93	199	1921
94	199	1903
95	200	1885
96	200	1866
97	200	1848
98	201	1831
99	201	1815
100	202	1799
101	202	1783
102	203	1768
103	203	1753
104	203	1738
105	204	1724
106	204	1710
107	205	1696
108	205	1682
109	206	1669
110	206	1655
111	207	1642
112	207	1629
113	208	1616
114	208	1604
115	208	1592
116	209	1580
117	209	1569
118	210	1557
119	210	1546
120	211	1535
121	211	1524
122	212	1513
123	212	1502
124	213	1492
125	213	1482
126	214	1472
127	214	1462
128	215	1452
129	215	1442
130	216	1433
131	216	1424
132	217	1414
133	217	1405
134	217	1396
135	218	1387
136	218	1379
137	219	1370
138	219	1362
139	220	1353
140	220	1345
141	221	1337
142	221	1329
143	222	1319
144	222	1312
145	222	1304
146	223	1296
147	224	1289
148	224	1282
149	225	1275
150	225	1268
151	226	1261
152	226	1254
153	227	1247
154	227	1240
155	227	1233
156	228	1226
157	228	1219
158	229	1213
159	229	1206
160	230	1200
161	230	1193
162	231	1187
163	231	1181
164	232	1175
165	232	1169
166	233	1163
167	233	1157
168	233	1150
169	234	1144
170	234	1138
171	235	1133
172	235	1127
173	236	1121
174	236	1116
175	237	1111
176	237	1105
177	238	1100
178	238	1095
179	239	1089
180	239	1084
181	240	1079
182	240	1074
183	241	1069
184	241	1064
185	242	1059
186	242	1054
187	243	1049
188	243	1045
189	244	1040
190	244	1035
191	245	1031
192	245	1026
193	245	1021
194	246	1017
195	246	1012
196	247	1008
197	247	1004
198	248	999
199	248	995
200	249	991
201	249	987
202	250	983
203	250	978
204	251	975
205	251	971
206	252	967
207	252	963
208	253	959
209	253	955
210	254	951
211	254	947
212	255	944
213	256	940
214	256	936
215	257	932
216	257	929
217	258	925
218	258	921
219	259	918
220	259	914
221	260	911
222	260	907
223	261	904
224	261	901
225	262	897
226	262	894
227	263	891
228	263	887
229	264	884
230	264	881
231	265	878
232	265	875
233	266	872
234	267	869
235	267	866
236	268	863
237	268	859
238	269	856
239	269	853
240	270	850
241	270	847
242	271	844
243	271	841
244	272	838
245	272	836
246	273	833
247	273	830
248	274	827
249	274	824
250	275	821
251	275	818
252	276	815
253	276	813
254	277	810
255	277	807
256	278	805
257	278	802
258	279	799
259	280	797
260	280	795
261	281	792
262	282	790
263	282	788
264	283	786
265	284	783
266	284	781
267	285	779
268	285	776
269	286	774
270	286	771
271	287	769
272	287	766
273	288	764
274	289	761
275	289	759
276	290	757
277	290	754
278	291	752
279	291	750
280	292	747
281	292	745
282	293	743
283	294	741
284	294	739
285	295	737
286	295	735
287	296	732
288	296	730
289	297	728
290	298	726
291	298	724
292	299	721
293	299	719
294	300	717
295	300	715
296	301	713
297	301	711
298	302	709
299	302	706
300	303	704
301	304	702
302	304	700
303	305	698
304	305	696
305	306	694
306	306	692
307	307	690
308	308	688
309	308	686
310	309	684
311	309	682
312	310	680
313	310	678
314	311	676
315	311	674
316	312	672
317	312	670
318	313	669
319	313	667
320	314	665
321	315	663
322	315	661
323	316	659
324	316	657
325	317	655
326	317	653
327	318	651
328	318	650
329	319	648
330	319	646
331	320	644
332	320	642
333	321	641
334	322	640
335	323	638
336	323	637
337	324	635
338	325	634
339	326	633
340	326	631
341	327	629
342	328	628
343	328	626
344	329	624
345	329	623
346	330	621
347	330	619
348	331	617
349	331	616
350	332	614
351	332	612
352	333	611
353	333	609
354	334	607
355	335	606
356	335	604
357	336	603
358	336	601
359	337	599
360	338	598
361	338	596
362	339	595
363	339	593
364	340	592
365	340	590
366	341	589
367	342	587
368	342	585
369	343	584
370	343	582
371	344	581
372	344	579
373	345	578
374	345	576
375	346	575
376	347	573
377	347	572
378	348	570
379	348	569
380	349	567
381	349	566
382	350	564
383	351	563
384	351	561
385	352	560
386	352	558
387	353	557
388	354	556
389	354	554
390	355	553
391	355	552
392	356	550
393	357	549
394	357	547
395	358	546
396	358	545
397	359	544
398	360	542
399	360	541
400	361	540
401	362	538
402	362	537
403	363	536
404	364	535
405	364	533
406	365	532
407	366	531
408	366	530
409	367	529
410	368	527
411	369	526
412	369	525
413	370	524
414	371	523
415	371	522
416	372	520
417	373	519
418	373	518
419	374	516
420	374	515
421	375	514
422	376	513
423	376	511
424	377	510
425	377	509
426	378	507
427	379	506
428	379	505
429	380	504
430	380	502
431	381	501
432	382	500
433	382	499
434	383	498
435	384	496
436	384	495
437	385	494
438	385	493
439	386	491
440	387	490
441	387	489
442	388	488
443	388	487
444	389	485
445	390	484
446	390	483
447	391	482
448	391	480
449	392	479
450	393	478
451	393	477
452	394	476
453	394	474
454	395	473
455	395	472
456	396	471
457	397	470
458	397	469
459	398	467
460	399	466
461	399	465
462	400	464
463	401	463
464	401	462
465	402	460
466	402	459
467	403	458
